epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,412.354,0.58331,0.79097,0.91452,0.91429,1,0.995,0.84574,0.53228,1.01162,0.99278,0.000608468,0.000608468,0.000608468
60,417.803,0.53604,0.72984,0.85924,0.93762,1,0.995,0.88722,0.51427,0.88798,0.99536,0.000594321,0.000594321,0.000594321
61,424.109,0.5637,0.73486,0.91964,0.93762,1,0.995,0.88722,0.51427,0.88798,0.99536,0.000580174,0.000580174,0.000580174
62,430.287,0.56946,0.88699,0.95976,0.95083,1,0.995,0.92037,0.44498,0.80544,0.97469,0.000566027,0.000566027,0.000566027
63,436.403,0.58826,0.75734,0.89539,0.95083,1,0.995,0.92037,0.44498,0.80544,0.97469,0.00055188,0.00055188,0.00055188
64,442.507,0.57895,0.72341,0.93163,0.95882,1,0.995,0.91208,0.46356,0.77519,0.9686,0.000537733,0.000537733,0.000537733
65,448.047,0.5864,0.7491,0.9118,0.95882,1,0.995,0.91208,0.46356,0.77519,0.9686,0.000523586,0.000523586,0.000523586
66,453.556,0.55702,0.73308,0.92562,0.95584,1,0.995,0.91208,0.47253,0.77548,0.97505,0.000509438,0.000509438,0.000509438
67,458.979,0.59202,0.74202,0.9289,0.95584,1,0.995,0.91208,0.47253,0.77548,0.97505,0.000495291,0.000495291,0.000495291
68,464.404,0.57036,0.77107,0.90324,0.95076,1,0.995,0.89547,0.49925,0.75656,0.98156,0.000481144,0.000481144,0.000481144
69,469.6,0.55006,0.87778,0.93307,0.95076,1,0.995,0.89547,0.49925,0.75656,0.98156,0.000466997,0.000466997,0.000466997
70,475.416,0.55675,0.85204,0.95127,0.95754,1,0.995,0.8872,0.51672,0.73007,0.97825,0.00045285,0.00045285,0.00045285
71,480.724,0.54537,0.69164,0.89349,0.95754,1,0.995,0.8872,0.51672,0.73007,0.97825,0.000438703,0.000438703,0.000438703
72,486.294,0.57699,0.7691,0.8957,0.96345,1,0.995,0.8872,0.5146,0.75429,0.97304,0.000424556,0.000424556,0.000424556
73,491.642,0.56453,0.74607,0.91398,0.96345,1,0.995,0.8872,0.5146,0.75429,0.97304,0.000410409,0.000410409,0.000410409
74,497.768,0.59107,0.7369,0.90902,0.96127,1,0.995,0.8872,0.50964,0.74669,0.97799,0.000396262,0.000396262,0.000396262
75,503.344,0.52239,0.7723,0.91671,0.96127,1,0.995,0.8872,0.50964,0.74669,0.97799,0.000382115,0.000382115,0.000382115
76,510.527,0.48771,0.68046,0.89303,0.95136,1,0.995,0.87056,0.52548,0.72305,0.99318,0.000367967,0.000367967,0.000367967
77,516.49,0.49187,0.70311,0.90022,0.95136,1,0.995,0.87056,0.52548,0.72305,0.99318,0.00035382,0.00035382,0.00035382
78,522.177,0.59828,0.76071,0.9236,0.95903,1,0.995,0.87877,0.52832,0.69164,0.99511,0.000339673,0.000339673,0.000339673
79,527.715,0.59163,0.74879,0.89791,0.95903,1,0.995,0.87877,0.52832,0.69164,0.99511,0.000325526,0.000325526,0.000325526
80,535.375,0.51498,0.63971,0.87687,0.96827,1,0.995,0.89534,0.5119,0.64135,0.98338,0.000311379,0.000311379,0.000311379
81,543.873,0.53966,0.71992,0.93502,0.96827,1,0.995,0.89534,0.5119,0.64135,0.98338,0.000297232,0.000297232,0.000297232
82,552.054,0.5118,0.67507,0.88936,0.97225,1,0.995,0.92033,0.48677,0.62366,0.97658,0.000283085,0.000283085,0.000283085
83,560.226,0.49028,0.62928,0.89236,0.97225,1,0.995,0.92033,0.48677,0.62366,0.97658,0.000268938,0.000268938,0.000268938
84,565.934,0.51249,0.65693,0.88371,0.97084,1,0.995,0.93695,0.4758,0.65312,0.97717,0.000254791,0.000254791,0.000254791
85,573.604,0.56606,0.68208,0.92625,0.97084,1,0.995,0.93695,0.4758,0.65312,0.97717,0.000240644,0.000240644,0.000240644
86,583.229,0.46908,0.6435,0.89309,0.96838,1,0.995,0.93695,0.47365,0.65138,0.98008,0.000226497,0.000226497,0.000226497
87,592.354,0.49148,0.65629,0.87236,0.96838,1,0.995,0.93695,0.47365,0.65138,0.98008,0.000212349,0.000212349,0.000212349
88,598.987,0.54026,0.65829,0.9178,0.96545,1,0.995,0.93695,0.45186,0.64323,0.98003,0.000198202,0.000198202,0.000198202
89,605.527,0.45003,0.64285,0.85099,0.96545,1,0.995,0.93695,0.45186,0.64323,0.98003,0.000184055,0.000184055,0.000184055
90,611.592,0.4996,0.63503,0.91865,0.96365,1,0.995,0.93695,0.46682,0.64227,0.98112,0.000169908,0.000169908,0.000169908
91,617.107,0.4169,0.66852,0.85133,0.96365,1,0.995,0.93695,0.46682,0.64227,0.98112,0.000155761,0.000155761,0.000155761
92,623.818,0.413,0.69323,0.83813,0.96159,1,0.995,0.93695,0.46413,0.64669,0.97665,0.000141614,0.000141614,0.000141614
93,629.891,0.42022,0.67251,0.84306,0.96159,1,0.995,0.93695,0.46413,0.64669,0.97665,0.000127467,0.000127467,0.000127467
94,636.014,0.38872,0.63138,0.84099,0.96011,1,0.995,0.93695,0.45082,0.64762,0.97084,0.00011332,0.00011332,0.00011332
95,641.987,0.40943,0.6382,0.81965,0.96011,1,0.995,0.93695,0.45082,0.64762,0.97084,9.91726e-05,9.91726e-05,9.91726e-05
96,647.811,0.41404,0.66385,0.83358,0.96014,1,0.995,0.93695,0.44244,0.65434,0.96632,8.50255e-05,8.50255e-05,8.50255e-05
97,654.323,0.39138,0.681,0.84916,0.96014,1,0.995,0.93695,0.44244,0.65434,0.96632,7.08784e-05,7.08784e-05,7.08784e-05
98,660.072,0.43005,0.64638,0.8713,0.96245,1,0.995,0.93695,0.43932,0.65099,0.96465,5.67313e-05,5.67313e-05,5.67313e-05
99,666.09,0.40081,0.6174,0.81746,0.96245,1,0.995,0.93695,0.43932,0.65099,0.96465,4.25842e-05,4.25842e-05,4.25842e-05
100,674.444,0.40944,0.63192,0.86374,0.96536,1,0.995,0.91206,0.44156,0.64765,0.9645,2.84371e-05,2.84371e-05,2.84371e-05
